47.69,117.45,90.44,"Boise State"
34.41,119.72,82.98,Cincinnati
30.18,84.34,97.32,Florida
38.95,76.94,80.06,Princeton
40.63,80.08,75.81,UTEP
32.78,97.52,88.91,TCU
40.94,74.07,78.54,Albany
38.63,76.98,83.99,"William & Mary"
40.28,74.72,78.35,Massachusetts
43.90,105.55,77.32,Wyoming
29.47,98.54,78.91,"Abilene Christian"
42.54,83.28,89.84,Michigan
37.64,93.40,76.67,"South Alabama"
32.22,89.89,80.87,Troy
42.59,83.38,75.31,Idaho
27.45,82.64,99.82,"Ole Miss"
32.64,117.05,81.81,Louisville
41.05,74.62,84.93,Virginia
40.91,74.12,85.83,Rutgers
38.91,77.02,86.15,Virginia
40.99,85.03,81.31,"Miami (OH)"
36.90,94.88,78.00,"New Mexico"
31.72,90.41,79.83,"Arkansas State"
42.53,71.10,76.61,Maine
42.12,72.55,76.95,Monmouth
38.67,121.15,96.33,Washington
27.26,80.25,78.91,"Boise State"
43.18,77.64,87.52,"Penn State"
29.98,95.18,77.98,"McNeese State"
32.55,92.19,85.36,"Louisiana Tech"
0.00,0.00,85.74,Houston
27.45,82.64,90.40,"Penn State"
29.90,98.72,90.29,Tennessee
30.10,81.72,79.87,"South Carolina"
25.98,80.28,80.01,"New Mexico State"
41.25,81.46,82.95,Toledo
43.07,83.69,76.67,"Southern Illinois"
29.96,95.74,76.67,"Sam Houston State"
37.67,121.94,86.76,"Wake Forest"
26.02,80.34,82.88,"Florida A&M"
41.70,111.87,76.67,"Washington State"
36.52,119.40,84.05,"Oregon State"
32.46,83.60,87.77,"North Carolina"
37.71,97.23,82.88,"Northern Illinois"
34.05,84.07,81.33,"Murray State"
30.00,95.45,89.23,"Arizona State"
28.01,81.93,82.95,FIU
30.42,90.01,80.06,Tulane
34.37,118.48,96.73,"Arizona State"
35.14,106.49,92.48,Michigan
35.13,85.38,85.24,"Mississippi State"
42.87,85.66,81.72,"Western Michigan"
33.10,117.27,81.65,"San Diego State"
44.49,88.07,87.41,"Bowling Green"
31.71,106.33,84.69,Colorado
35.24,90.85,86.96,Cincinnati
33.73,86.65,82.28,Cincinnati
